Date,Open,High,Low,Close,Adj Close,Volume
10/9/20,76.790001,77.599998,75.160004,75.629997,75.629997,2238387
11/9/20,73.790001,75.040001,72.800003,73.870003,73.870003,2088194
14/9/20,73.849998,75,70.209999,72.580002,72.580002,2583561
15/9/20,73.980003,75.790001,73.5,75.010002,75.010002,1913901
16/9/20,75.849998,78.379997,75.550003,78.029999,78.029999,2159905
17/9/20,77.519997,77.745003,73.839996,73.839996,73.839996,2511269
18/9/20,74.029999,76.660004,74.029999,75.800003,75.800003,3039259
21/9/20,76.300003,76.43,74.510002,74.860001,74.860001,1138413
22/9/20,74.309998,76.769997,74.010002,76.540001,76.540001,1248040
23/9/20,77.879997,81.080002,77.709999,78.730003,78.730003,2611296
24/9/20,75.690002,76.300003,73.82,74.139999,74.139999,1779823
25/9/20,75.25,76,72.769997,75.949997,75.949997,1542943
28/9/20,76.5,80.300003,75.980003,79.800003,79.800003,1370956
29/9/20,81.010002,82.699997,81.010002,81.779999,81.779999,1772902
30/9/20,80.879997,81.610001,79.900002,79.989998,79.989998,1721906
1/10/20,81.849998,82.889999,80.32,80.449997,80.449997,1302371
2/10/20,81.620003,83.440002,79.040001,79.650002,79.650002,1764322
5/10/20,81.010002,82.279999,78.589996,79.519997,79.519997,1340788
6/10/20,81.239998,84.199997,79.639999,83.480003,83.480003,1412123
7/10/20,83.449997,85.839996,82.57,84.839996,84.839996,1071845
8/10/20,85.900002,87.370003,85.309998,87.050003,87.050003,1485953
9/10/20,87.900002,89.510002,87.199997,89.510002,89.510002,1384184
12/10/20,89.879997,92.169998,89.029999,92,92,1824057
13/10/20,93.940002,96.080002,93.400002,94.459999,94.459999,2813792
14/10/20,96.110001,98.68,94.900002,96.089996,96.089996,2210539
15/10/20,96.699997,96.699997,94.150002,95,95,1493382
16/10/20,94.699997,97.160004,94.360001,96.720001,96.720001,1722064
19/10/20,97.010002,98.300003,96.849998,97.540001,97.540001,907994
20/10/20,98.699997,105.800003,98.379997,101.940002,101.940002,2632273
21/10/20,103.150002,104.419998,99.540001,101.32,101.32,2399826
22/10/20,99,101.419998,97.900002,101.059998,101.059998,1341883
23/10/20,101.889999,102.639999,100.709999,102.129997,102.129997,1172928
26/10/20,102.510002,105.400002,100.760002,100.760002,100.760002,1301330
27/10/20,98.019997,98.5,95.599998,95.980003,95.980003,1661197
28/10/20,95.900002,103.800003,95.599998,102.970001,102.970001,1969937
29/10/20,100.010002,100.339996,97.620003,99.550003,99.550003,1511549
30/10/20,100.669998,102,96.370003,96.690002,96.690002,1572818
2/11/20,96.5,98.769997,95.769997,98.269997,98.269997,1025633
3/11/20,99.699997,101.900002,98.870003,99.129997,99.129997,1231196
4/11/20,101,101.889999,97.099998,100.75,100.75,2466615
5/11/20,103.400002,104.370003,102.260002,103.25,103.25,1557017
6/11/20,104.940002,105.199997,99.279999,100.5,100.5,1356126
9/11/20,102,105,101.980003,104.529999,104.529999,2469392
10/11/20,101.900002,101.900002,91.620003,93.18,93.18,4229212
11/11/20,93.449997,96.099998,89.269997,96.040001,96.040001,2776280
12/11/20,98.900002,101.269997,98.580002,99.230003,99.230003,2774728
13/11/20,99.199997,102.800003,98.75,101.849998,101.849998,2549986
16/11/20,102.989998,103.5,101.199997,101.400002,101.400002,163718
17/11/20,102.5,103.239998,95.400002,95.93,95.93,2432091
18/11/20,96.099998,96.650002,93.010002,94.690002,94.690002,1602127
19/11/20,94.449997,97.980003,93.18,97.889999,97.889999,1681885
20/11/20,98.980003,99.769997,97.150002,97.589996,97.589996,1389804
23/11/20,97.599998,99.949997,96.889999,98.699997,98.699997,828221
24/11/20,99,101.470001,98.93,101.139999,101.139999,1304932
25/11/20,101.400002,101.889999,95.220001,95.220001,95.220001,1917867
26/11/20,96.830002,97.449997,95.449997,95.809998,95.809998,1247239
27/11/20,95.730003,96.370003,93.370003,94.699997,94.699997,1048358
30/11/20,97.190002,98.339996,94.779999,95.010002,95.010002,2306888
1/12/20,95.800003,98.620003,94.809998,98.300003,98.300003,1378140
2/12/20,99.699997,100.790001,97.68,98.559998,98.559998,1831098
3/12/20,100.489998,100.989998,96.099998,96.199997,96.199997,1662426
4/12/20,97.480003,97.480003,94.5,94.5,94.5,1084217
7/12/20,96.989998,97.190002,94.629997,96.599998,96.599998,1177043
8/12/20,97,97.599998,95.519997,95.68,95.68,1085604
9/12/20,96.68,98.650002,96,98.449997,98.449997,1404428
10/12/20,97.610001,97.949997,95.610001,96.18,96.18,1142144
11/12/20,97.190002,101.800003,96.5,101.010002,101.010002,2078843
14/12/20,101.010002,111.660004,101.010002,109.93,109.93,2491236
15/12/20,110.019997,113.050003,107.449997,110,110,1803193
16/12/20,115,116.07,113,114.599998,114.599998,1668292
17/12/20,115.790001,120.769997,115.769997,120.309998,120.309998,1793383
18/12/20,120.349998,123.400002,111.290001,111.290001,111.290001,6195376
21/12/20,112.949997,117,111.290001,112.150002,112.150002,1158241
22/12/20,112.279999,114.449997,109.529999,113.290001,113.290001,999734
23/12/20,114,117.139999,113.959999,114.989998,114.989998,1308179
24/12/20,116,117.139999,115.599998,115.949997,115.949997,633086
29/12/20,116.809998,122.089996,116.480003,122.089996,122.089996,1233955
30/12/20,122,122,117.559998,117.629997,117.629997,887795
31/12/20,118.050003,120.059998,118,118,118,598402
4/1/21,119.68,122.300003,119,119,119,962538
5/1/21,119,120.580002,118.129997,118.900002,118.900002,1008122
6/1/21,118.709999,118.870003,112.010002,113.559998,113.559998,1350452
7/1/21,114.879997,115.199997,105.029999,108.849998,108.849998,1494390
8/1/21,111.870003,116,111.5,116,116,1608812
11/1/21,115.769997,116.18,112.18,113.989998,113.989998,766558
12/1/21,113.900002,114.75,111.800003,111.849998,111.849998,845962
13/1/21,111.849998,112.050003,107.5,110.260002,110.260002,989650
14/1/21,112.589996,121,112.5,121,121,1542253
15/1/21,120.790001,135.539993,120.699997,133.149994,133.149994,2360768
18/1/21,131.649994,140.399994,131.5,132.009995,132.009995,3103244
19/1/21,132.380005,134.289993,131.710007,134,134,882969
20/1/21,135.25,142.300003,135.25,141,141,1515128
21/1/21,144.410004,149.774994,144.289993,149,149,2545952
22/1/21,150,151.220001,140.360001,141.330002,141.330002,2132907
25/1/21,144.990005,146.5,142.529999,143.460007,143.460007,2135612
27/1/21,143.380005,146.990005,140.679993,146,146,2610925
28/1/21,141.5,142.940002,136.009995,136.970001,136.970001,2072260
29/1/21,140.740005,142.899994,134.539993,135.100006,135.100006,1412398
1/2/21,132.449997,136.369995,129.009995,135.869995,135.869995,1236180
2/2/21,140.100006,147.100006,139.330002,146.619995,146.619995,1868420
3/2/21,147.660004,149.429993,144.220001,144.220001,144.220001,1076635
4/2/21,144.800003,147.5,143.699997,146.309998,146.309998,1636995
